RegionID,RegionName,State,Metro,CountyName,SizeRank,% increase over 1996 to 2016
50800,Auburn,CA,Sacramento,Placer,1022,245.7%
50849,Banning,CA,Riverside,Riverside,1408,273.9%
51000,Biggs,CA,Chico,Butte,8915,#DIV/0!
51239,Camarillo,CA,Ventura,Ventura,524,287.4%
51274,Carmel Valley,CA,Salinas,Monterey,6399,315.3%
51277,Carnelian Bay,CA,Sacramento,Placer,10173,332.0%
51405,Chula Vista,CA,San Diego,San Diego,83,273.4%
51414,Citrus Heights,CA,Sacramento,Sacramento,411,252.7%
51518,Concord,CA,San Francisco,Contra Costa,227,321.9%
51617,Culver City,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,1213,442.8%
51659,Davis,CA,Sacramento,Yolo,723,330.3%
51701,Desert Hot Springs,CA,Riverside,Riverside,974,243.4%
51751,Dublin,CA,San Francisco,Alameda,1185,382.3%
51858,El Cerrito,CA,San Francisco,Contra Costa,1775,377.6%
51861,El Monte,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,277,319.6%
51863,El Sobrante,CA,San Francisco,Contra Costa,2190,308.2%
52061,Fort Bragg,CA,Ukiah,Mendocino,3444,#DIV/0!
52481,Helendale,CA,Riverside,San Bernardino,6022,199.8%
52547,Hollister,CA,San Jose,San Benito,861,#DIV/0!
52650,Irvine,CA,Los Angeles-Long Beach-Anaheim,Orange,102,317.0%
52658,Ivanhoe,CA,Visalia,Tulare,7172,177.8%
52752,Kentfield,CA,San Francisco,Marin,4817,#DIV/0!
52835,Ladera Ranch,CA,Los Angeles-Long Beach-Anaheim,Orange,1778,#DIV/0!
52842,Laguna Beach,CA,Los Angeles-Long Beach-Anaheim,Orange,2096,563.2%
52852,Lake Elsinore,CA,Riverside,Riverside,717,260.4%
52871,Lakeport,CA,Clearlake,Lake,3823,216.3%
53027,Lomita,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,2113,340.5%
53148,Manteca,CA,Stockton,San Joaquin,474,243.9%
53327,Millbrae,CA,San Francisco,San Mateo,1950,405.1%
53424,Moss Beach,CA,San Francisco,San Mateo,8065,316.4%
53467,Murphys,CA,,Calaveras,8735,224.0%
53487,National City,CA,San Diego,San Diego,690,334.3%
53571,Newport Beach,CA,Los Angeles-Long Beach-Anaheim,Orange,686,419.6%
53636,Norwalk,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,275,294.7%
53643,Novato,CA,San Francisco,Marin,682,282.6%
53646,Nuevo,CA,Riverside,Riverside,4503,268.4%
53655,Oak Park,CA,Ventura,Ventura,2816,271.0%
53925,Pleasant Hill,CA,San Francisco,Contra Costa,1249,340.4%
54053,Rancho Palos Verdes,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,1350,295.6%
54158,Riverbank,CA,Modesto,Stanislaus,2943,226.7%
54212,Rosemead,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,633,340.7%
54223,Rough and Ready,CA,Truckee,Nevada,8125,266.9%
54288,Salinas,CA,Salinas,Monterey,126,233.8%
54296,San Diego,CA,San Diego,San Diego,7,335.5%
54299,San Marino,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,3435,424.5%
54301,San Rafael,CA,San Francisco,Marin,583,300.9%
54311,Santa Clarita,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,170,274.8%
54345,Scotts Valley,CA,Santa Cruz,Santa Cruz,3189,326.3%
54352,Seal Beach,CA,Los Angeles-Long Beach-Anaheim,Orange,1788,312.5%
54626,Sunnyvale,CA,San Jose,Santa Clara,183,468.0%
54666,Tehachapi,CA,Bakersfield,Kern,1287,223.7%
54722,Torrance,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,196,323.5%
54759,Turlock,CA,Modesto,Stanislaus,508,242.3%
